motor_angle_deg,ambient_temp_c,elapsed_time_min,raw_phase_deg,raw_mag_dB,phase_drift_error_deg,true_phase_deg,true_mag_dB,predicted_drift_deg,calibrated_phase_deg
-180.0,22.0,0.0,0.4571,0.3714,0.0,-0.0,0.0,0.0054,0.4517
-179.0,22.001,0.016,-1.5962,0.2755,0.0003,-0.0366,-0.1091,0.0056,-1.6018
-178.0,22.002,0.032,0.9798,-0.1395,0.0007,-0.1465,-0.4395,0.0054,0.9744
-177.0,22.002,0.048,1.082,-0.8254,0.001,-0.3298,-1.0014,0.0054,1.0766
-176.0,22.003,0.064,-3.5118,-1.6483,0.0014,-0.5866,-1.8135,0.0055,-3.5173
-175.0,22.004,0.08,-2.8684,-2.7953,0.0017,-0.9168,-2.9063,0.0055,-2.8739
-174.0,22.005,0.096,-1.1264,-4.166,0.0021,-1.3203,-4.3291,0.0056,-1.132
-173.0,22.005,0.112,-2.2687,-5.9731,0.0024,-1.7967,-6.1632,0.0056,-2.2743
-172.0,22.006,0.128,-2.3683,-9.1153,0.0028,-2.3459,-8.5535,0.0056,-2.3739
-171.0,22.007,0.144,-4.2436,-12.1087,0.0032,-2.9672,-11.7926,0.0057,-4.2493
-170.0,22.008,0.16,-2.3377,-17.0382,0.0035,-3.6603,-16.6267,0.0059,-2.3436
-169.0,22.008,0.176,-3.2539,-25.9321,0.0039,-4.4245,-26.3749,0.0059,-3.2598
-168.0,22.009,0.192,-5.1558,-27.7529,0.0043,-5.2592,-28.4146,0.0064,-5.1622
-167.0,22.01,0.208,-4.4679,-20.1911,0.0047,-6.1634,-19.3235,0.006,-4.4739
-166.0,22.011,0.224,-6.4301,-15.2358,0.005,-7.1364,-15.8618,0.0068,-6.4369
-165.0,22.012,0.24,-9.4607,-14.1079,0.0054,-8.1772,-14.1425,0.0071,-9.4678
-164.0,22.012,0.256,-8.7257,-12.9763,0.0058,-9.2846,-13.3813,0.0076,-8.7333
-163.0,22.013,0.272,-11.8898,-13.101,0.0062,-10.4577,-13.3036,0.0077,-11.8975
-162.0,22.014,0.288,-10.3708,-13.2333,0.0066,-11.695,-13.8095,0.008,-10.3788
-161.0,22.015,0.304,-13.0633,-14.8115,0.007,-12.9954,-14.8954,0.008,-13.0713
-160.0,22.015,0.32,-14.6273,-17.1967,0.0074,-14.3574,-16.6513,0.0089,-14.6362
-159.0,22.016,0.336,-16.7932,-19.3685,0.0077,-15.7795,-19.3262,0.0089,-16.8021
-158.0,22.017,0.352,-15.4182,-23.4024,0.0081,-17.2602,-23.6086,0.0097,-15.4279
-157.0,22.018,0.368,-19.021,-32.6141,0.0085,-18.7977,-32.5277,0.0097,-19.0307
-156.0,22.018,0.384,-21.024,-35.3705,0.0089,-20.3905,-35.6336,0.0107,-21.0347
-155.0,22.019,0.4,-22.5555,-25.6396,0.0093,-22.0366,-25.6133,0.0107,-22.5662
-154.0,22.02,0.416,-22.926,-21.9274,0.0097,-23.7342,-21.6892,0.0109,-22.9369
-153.0,22.021,0.432,-24.9231,-19.9964,0.0101,-25.4815,-19.562,0.0109,-24.934
-152.0,22.022,0.448,-26.6466,-18.5508,0.0105,-27.2762,-18.3941,0.0116,-26.6582
-151.0,22.022,0.464,-28.4593,-17.8016,0.0109,-29.1164,-17.8835,0.0116,-28.4709
-150.0,22.023,0.48,-27.7762,-18.6856,0.0114,-31.0,-17.9018,0.0125,-27.7887
-149.0,22.024,0.496,-33.5225,-18.7158,0.0118,-32.9247,-18.4038,0.0126,-33.5351
-148.0,22.025,0.512,-35.6444,-20.202,0.0122,-34.8882,-19.4034,0.0131,-35.6575
