           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -50              -40              115        6.6136875       -2.8198285        18.573277       -8.7962875        -2.506053       -28.628908
              -40              -40              115        3.3145461       -6.5558233        47.984661          25.1008         54.39027       -17.290108
              -30              -40              115       -1.6747456       -4.2431264        47.745735        80.175896        102.81776        24.970404
              -20              -40              115       -5.7333579       -1.0416465        23.696968        120.28995        105.35622        65.682556
              -10              -40              115        -5.279542    -0.0072498033       -4.4461188        142.85602        98.222832        95.972382
                0              -40              115                0                0       -17.023952        151.45541        99.760895        108.71853
               10              -40              115         5.279542     0.0072498033       -4.4461188        142.85602        98.222832        95.972382
               20              -40              115        5.7333579        1.0416465        23.696968        120.28995        105.35622        65.682556
               30              -40              115        1.6747456        4.2431264        47.745735        80.175896        102.81776        24.970404
               40              -40              115       -3.3145461        6.5558233        47.984661          25.1008         54.39027       -17.290108
               50              -40              115       -6.6136875        2.8198285        18.573277       -8.7962875        -2.506053       -28.628908
              -50              -30              115        10.260674      0.047015995        27.319067       -2.4411306        11.740583        -4.602479
              -40              -30              115        16.444412      -0.59063089         60.44672        80.931015        9.1235886        7.3447065
              -30              -30              115        7.4654179        -8.331665        28.460365        178.86104         10.39499        26.868994
              -20              -30              115       -2.8907156       -13.899813       -52.941975        233.68115        12.650938        37.349606
              -10              -30              115       -5.0923214       -11.418568       -126.17084        256.88156        19.530977         43.70784
                0              -30              115                0                0       -153.01645        264.97104        25.239996        47.543102
               10              -30              115        5.0923214        11.418568       -126.17084        256.88156        19.530977         43.70784
               20              -30              115        2.8907156        13.899813       -52.941975        233.68115        12.650938        37.349606
               30              -30              115       -7.4654179         8.331665        28.460365        178.86104         10.39499        26.868994
               40              -30              115       -16.444412       0.59063089         60.44672        80.931015        9.1235886        7.3447065
               50              -30              115       -10.260674     -0.047015995        27.319067       -2.4411306        11.740583        -4.602479
              -50              -20              115        5.6847763        5.8020473        22.415281        8.9547205        11.419361        10.489571
              -40              -20              115        8.7355528        8.8828936        25.087414        101.04526        -11.85628        23.236908
              -30              -20              115        5.0063367        2.4072678       -37.856583        186.43094       -34.736729        30.733927
              -20              -20              115        3.9856884       -4.6933112       -136.31485        214.57466       -49.752712        23.878874
              -10              -20              115         3.928359       -6.4129667       -214.28233        211.92563       -60.053562        17.880249
                0              -20              115                0                0       -241.17281        209.05617       -63.914013        17.674551
               10              -20              115        -3.928359        6.4129667       -214.28233        211.92563       -60.053562        17.880249
               20              -20              115       -3.9856884        4.6933112       -136.31485        214.57466       -49.752712        23.878874
               30              -20              115       -5.0063367       -2.4072678       -37.856583        186.43094       -34.736729        30.733927
               40              -20              115       -8.7355528       -8.8828936        25.087414        101.04526        -11.85628        23.236908
               50              -20              115       -5.6847763       -5.8020473        22.415281        8.9547205        11.419361        10.489571
              -50              -10              115        1.9485147        4.4166613        19.477747        14.641785        8.4958601       -9.5023785
              -40              -10              115       -4.8669658        5.4190717       -1.3522036        100.37678        12.803307         10.37716
              -30              -10              115       -4.9273701        9.2011137       -83.748329        162.21904        9.0761909        22.768318
              -20              -10              115        2.3087921        9.6161499       -185.24677         160.9057       -7.0677643        22.941036
              -10              -10              115        6.1119661        5.4304566       -253.88622        132.18813       -31.156639        22.416317
                0              -10              115                0                0       -274.43784        118.16005       -43.237778        23.754642
               10              -10              115       -6.1119661       -5.4304566       -253.88622        132.18813       -31.156639        22.416317
               20              -10              115       -2.3087921       -9.6161499       -185.24677         160.9057       -7.0677643        22.941036
               30              -10              115        4.9273701       -9.2011137       -83.748329        162.21904        9.0761909        22.768318
               40              -10              115        4.8669658       -5.4190717       -1.3522036        100.37678        12.803307         10.37716
               50              -10              115       -1.9485147       -4.4166613        19.477747        14.641785        8.4958601       -9.5023785
              -50                0              115                0                0        20.711863        15.134183                0                0
              -40                0              115                0                0       -6.9564714        96.492256                0                0
              -30                0              115                0                0       -95.602592        147.45126                0                0
              -20                0              115                0                0       -197.14609        134.25328                0                0
              -10                0              115                0                0       -260.31342        95.337807                0                0
                0                0              115                0                0       -277.33521        76.897682                0                0
               10                0              115                0                0       -260.31342        95.337807                0                0
               20                0              115                0                0       -197.14609        134.25328                0                0
               30                0              115                0                0       -95.602592        147.45126                0                0
               40                0              115                0                0       -6.9564714        96.492256                0                0
               50                0              115                0                0        20.711863        15.134183                0                0
              -50               10              115       -1.9485147       -4.4166613        19.477747        14.641785       -8.4958601        9.5023785
              -40               10              115        4.8669658       -5.4190717       -1.3522036        100.37678       -12.803307        -10.37716
              -30               10              115        4.9273701       -9.2011137       -83.748329        162.21904       -9.0761909       -22.768318
              -20               10              115       -2.3087921       -9.6161499       -185.24677         160.9057        7.0677643       -22.941036
              -10               10              115       -6.1119661       -5.4304566       -253.88622        132.18813        31.156639       -22.416317
                0               10              115                0                0       -274.43784        118.16005        43.237778       -23.754642
               10               10              115        6.1119661        5.4304566       -253.88622        132.18813        31.156639       -22.416317
               20               10              115        2.3087921        9.6161499       -185.24677         160.9057        7.0677643       -22.941036
               30               10              115       -4.9273701        9.2011137       -83.748329        162.21904       -9.0761909       -22.768318
               40               10              115       -4.8669658        5.4190717       -1.3522036        100.37678       -12.803307        -10.37716
               50               10              115        1.9485147        4.4166613        19.477747        14.641785       -8.4958601        9.5023785
              -50               20              115       -5.6847763       -5.8020473        22.415281        8.9547205       -11.419361       -10.489571
              -40               20              115       -8.7355528       -8.8828936        25.087414        101.04526         11.85628       -23.236908
              -30               20              115       -5.0063367       -2.4072678       -37.856583        186.43094        34.736729       -30.733927
              -20               20              115       -3.9856884        4.6933112       -136.31485        214.57466        49.752712       -23.878874
              -10               20              115        -3.928359        6.4129667       -214.28233        211.92563        60.053562       -17.880249
                0               20              115                0                0       -241.17281        209.05617        63.914013       -17.674551
               10               20              115         3.928359       -6.4129667       -214.28233        211.92563        60.053562       -17.880249
               20               20              115        3.9856884       -4.6933112       -136.31485        214.57466        49.752712       -23.878874
               30               20              115        5.0063367        2.4072678       -37.856583        186.43094        34.736729       -30.733927
               40               20              115        8.7355528        8.8828936        25.087414        101.04526         11.85628       -23.236908
               50               20              115        5.6847763        5.8020473        22.415281        8.9547205       -11.419361       -10.489571
              -50               30              115       -10.260674     -0.047015995        27.319067       -2.4411306       -11.740583         4.602479
              -40               30              115       -16.444412       0.59063089         60.44672        80.931015       -9.1235886       -7.3447065
              -30               30              115       -7.4654179         8.331665        28.460365        178.86104        -10.39499       -26.868994
              -20               30              115        2.8907156        13.899813       -52.941975        233.68115       -12.650938       -37.349606
              -10               30              115        5.0923214        11.418568       -126.17084        256.88156       -19.530977        -43.70784
                0               30              115                0                0       -153.01645        264.97104       -25.239996       -47.543102
               10               30              115       -5.0923214       -11.418568       -126.17084        256.88156       -19.530977        -43.70784
               20               30              115       -2.8907156       -13.899813       -52.941975        233.68115       -12.650938       -37.349606
